internalTaxonId,scientificName,name,language,main
22734593,Fulvetta danisi,Indochinese Fulvetta,English,TRUE
22733666,Geokichla dumasi,Moluccan Thrush,English,FALSE
22733666,Geokichla dumasi,Buru Thrush,English,TRUE
22730062,Ninox sumbaensis,Least Boobook,English,TRUE
22703937,Stresemannia bougainvillei,Bougainville Honeyeater,English,TRUE
22706460,Sphecotheres viridis,Green Figbird,English,FALSE
22706460,Sphecotheres viridis,Timor Figbird,English,TRUE
103811335,Foudia consobrina,Grand Comoro Fody,English,FALSE
103811335,Foudia consobrina,Grande Comore Fody,English,TRUE
103708917,Rhipidura kordensis,Biak Fantail,English,TRUE
22705565,Pachycephala tenebrosa,Morningbird,English,TRUE
103758982,Sittiparus owstoni,Izu Tit,English,TRUE
22700340,Attila torridus,Ochraceous Attila,English,TRUE
22713231,Hypsipetes borbonicus,Olivaceous Bulbul,English,FALSE
22713231,Hypsipetes borbonicus,Réunion Black Bulbul,English,FALSE
22713231,Hypsipetes borbonicus,Bulbul de Bourbon,French,FALSE
22713231,Hypsipetes borbonicus,Reunion Bulbul,English,TRUE
22691668,Ducula aurorae,Polynesian Imperial Pigeon,English,FALSE
22691668,Ducula aurorae,Polynesian Imperial-Pigeon,English,FALSE
22691668,Ducula aurorae,Society Islands Pigeon,English,FALSE
22691668,Ducula aurorae,Polynesian Imperial-pigeon,English,TRUE
103694300,Coracina dobsoni,Andaman Cuckoo-shrike,English,FALSE
103694300,Coracina dobsoni,Andaman Cuckooshrike,English,TRUE
22710565,Aplonis brunneicapillus,White-eyed Starling,English,TRUE
22723198,Incaspiza ortizi,Gray-winged Inca-Finch,English,FALSE
22723198,Incaspiza ortizi,Grey-winged Inca Finch,English,FALSE
22723198,Incaspiza ortizi,Grey-winged Inca-Finch,English,FALSE
22723198,Incaspiza ortizi,Grey-winged Inca-finch,English,TRUE
22685025,Psittrichas fulgidus,Loro Aguileño,Spanish; Castilian,FALSE
22685025,Psittrichas fulgidus,Pesquet's Parrot,English,TRUE
22736232,Automolus lammi,Pernambuco Foliage-gleaner,English,TRUE
22698957,Hemitriccus kaempferi,Kaempfer's Tody-Tyrant,English,FALSE
22698957,Hemitriccus kaempferi,Kaempfer's Tody-tyrant,English,TRUE
45421208,Pyrrhura leucotis,White-eared Parakeet,English,TRUE
22687791,Aglaeactis castelnaudii,White-tufted Sunbeam,English,TRUE
22701577,Herpsilochmus pectoralis,Pectoral Antwren,English,TRUE
22729533,Lanius meridionalis,Southern Grey Shrike,English,FALSE
22729533,Lanius meridionalis,Iberian Grey Shrike,English,TRUE
22722136,Conothraupis mesoleuca,Cone-billed Tanager,English,TRUE
22720940,Emberiza socotrana,Bruant de Socotra,French,FALSE
22720940,Emberiza socotrana,Socotra Bunting,English,TRUE
22718933,Ploceus spekeoides,Tisserin de Fox,French,FALSE
22718933,Ploceus spekeoides,Fox's Weaver,English,TRUE
22724290,Macroagelaius subalaris,Colombian Mountain Grackle,English,FALSE
22724290,Macroagelaius subalaris,Mountain Grackle,English,TRUE
22698777,Neodrepanis hypoxantha,Small-billed Asity,English,FALSE
22698777,Neodrepanis hypoxantha,Yellow-bellied Asity,English,FALSE
22698777,Neodrepanis hypoxantha,Faux-Souimanga à ventre jaune,French,FALSE
22698777,Neodrepanis hypoxantha,Yellow-bellied Sunbird-asity,English,TRUE
22701439,Myrmotherula klagesi,Klages's Antwren,English,TRUE
103872287,Pterorhinus mitratus,Chestnut-capped Laughingthrush,English,TRUE
22735464,Cnipodectes superrufus,Rufous Twistwing,English,TRUE
22717663,Anthreptes rubritorques,Banded Green Sunbird,English,FALSE
22717663,Anthreptes rubritorques,Souimanga à collier brun,French,FALSE
22717663,Anthreptes rubritorques,Banded Sunbird,English,TRUE
22717443,Promerops gurneyi,Promérops de Gurney,French,FALSE
22717443,Promerops gurneyi,Gurney's Sugarbird,English,TRUE
22680945,Geocolaptes olivaceus,Pic laboureur,French,FALSE
22680945,Geocolaptes olivaceus,Ground Woodpecker,English,TRUE
22686374,Amazona vinacea,Vinaceous Amazon,English,FALSE
22686374,Amazona vinacea,Vinaceous-breasted Parrot,English,FALSE
22686374,Amazona vinacea,Vinaceous Parrot,English,FALSE
22686374,Amazona vinacea,Amazona Pechivinosa,Spanish; Castilian,FALSE
22686374,Amazona vinacea,Amazona Vinosa,Spanish; Castilian,FALSE
22686374,Amazona vinacea,Loro Pechivinoso,Spanish; Castilian,FALSE
22686374,Amazona vinacea,Loro Pecho Vinoso,Spanish; Castilian,FALSE
22686374,Amazona vinacea,Vinaceous-breasted Amazon,English,TRUE
22686288,Amazona rhodocorytha,Red-browed Parrot,English,FALSE
22686288,Amazona rhodocorytha,Red-topped Amazon,English,FALSE
22686288,Amazona rhodocorytha,Red-topped Parrot,English,FALSE
22686288,Amazona rhodocorytha,Amazona Coronirroja,Spanish; Castilian,FALSE
22686288,Amazona rhodocorytha,Amazona Crestirroja,Spanish; Castilian,FALSE
22686288,Amazona rhodocorytha,Red-browed Amazon,English,TRUE
22713638,Schistolais leontica,White-eyed Prinia,English,FALSE
22713638,Schistolais leontica,Prinia de Sierra Leone,French,FALSE
22713638,Schistolais leontica,Sierra Leone Prinia,English,TRUE
22710485,Aplonis santovestris,Santo Starling,English,FALSE
22710485,Aplonis santovestris,Vanuatu Starling,English,FALSE
22710485,Aplonis santovestris,Mountain Starling,English,TRUE
22700900,Xipholena atropurpurea,Cotinga Aliblanca,Spanish; Castilian,FALSE
22700900,Xipholena atropurpurea,White-winged Cotinga,English,TRUE
22688686,Otus capnodes,Anjouan Scops Owl,English,FALSE
22688686,Otus capnodes,Autillo de Anjouan,Spanish; Castilian,FALSE
22688686,Otus capnodes,Petit-duc d'Anjouan,French,FALSE
22688686,Otus capnodes,Anjouan Scops-owl,English,TRUE
22716864,Curruca buryi,Arabian Tit-Warbler,English,FALSE
22716864,Curruca buryi,Parisome d'Arabie,French,FALSE
22716864,Curruca buryi,Yemen Warbler,English,TRUE
103814223,Certhidea olivacea,Green Warbler-finch,English,TRUE
22681095,Dendropicos dorae,Pic d'Arabie,French,FALSE
22681095,Dendropicos dorae,Arabian Woodpecker,English,TRUE
22735491,Hypocnemis ochrogyna,Rondonia Warbling-antbird,English,FALSE
22735491,Hypocnemis ochrogyna,Rondonia Warbling-Antbird,English,FALSE
22735491,Hypocnemis ochrogyna,Rondonia Antwarbler,English,TRUE
22724382,Troglodytes cobbi,Cobb's Wren,English,TRUE
22726086,Lybius leucogaster,White-bellied Barbet,English,TRUE
45353580,Apteryx mantelli,Brown kiwi,English,FALSE
45353580,Apteryx mantelli,Northern Brown Kiwi,English,FALSE
45353580,Apteryx mantelli,North Island Brown Kiwi,English,TRUE
22734314,Pomarea iphis,Ua Huka Flycatcher,English,FALSE
22734314,Pomarea iphis,Iphis Monarch,English,TRUE
