internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
22726655,Ceyx gentianus,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,ALCEDINIDAE,Ceyx,gentianus,,,,,"Tristram, 1879","<p><em>Ceyx  lepidus, C. margarethae, C. wallacii, C. cajeli, C. solitarius, C.  dispar, C. mulcatus, C. sacerdotis, C. meeki, C. collectoris, C.  nigromaxilla </em>and <em>C. gentianus </em>(del Hoyo and Collar 2014) were previously lumped as <em>C. lepidus </em>following Sibley and Monroe (1990, 1993).<em></em></p><p><em></em></p>"
22706151,Epimachus fastosus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARADISAEIDAE,Epimachus,fastosus,,,,,"(Hermann, 1783)",<p><em>Epimachus fastosus </em>(del Hoyo and Collar 2016) was previously listed as <em>E. fastuosus</em>.</p>
22688573,Otus balli,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Otus,balli,,,,,"(Hume, 1873)",
22719374,Cryptospiza shelleyi,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ESTRILDIDAE,Cryptospiza,shelleyi,,,,,"Sharpe, 1902",
22709276,Fraseria tessmanni,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Fraseria,tessmanni,,,,,"(Reichenow, 1907)",<p><em>Fraseria tessmanni </em>(del Hoyo and Collar 2016) was previously listed as <em>Muscicapa tessmanni</em>.</p>
22717008,Mirafra cheniana,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ALAUDIDAE,Mirafra,cheniana,,,,,"Smith, 1843",
22689490,Uroglaux dimorpha,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Uroglaux,dimorpha,,,,,"(Salvadori, 1874)",
22717356,Spizocorys sclateri,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ALAUDIDAE,Spizocorys,sclateri,,,,,"(Shelley, 1902)",
22692311,Rallina canningi,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallina,canningi,,,,,"(Blyth, 1863)",
22717197,Eremopterix australis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ALAUDIDAE,Eremopterix,australis,,,,,"(Smith, 1836)",
22678795,Ptilopachus nahani,ANIMALIA,CHORDATA,AVES,GALLIFORMES,ODONTOPHORIDAE,Ptilopachus,nahani,,,,,"(Dubois, 1905)",<em>Ptilopachus nahani</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Francolinus</em>.
22689704,Nyctiprogne vielliardi,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,CAPRIMULGIDAE,Nyctiprogne,vielliardi,,,,,"Lencioni-Neto, 1994",
22690549,Macropygia rufipennis,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Macropygia,rufipennis,,,,,"Blyth, 1846","Closely related to <em>M. emiliana</em>, <em>M. tenuirostris</em>, <em>M. magna</em>, <em>M. amboinensis</em> and <em>M. phasianella</em>, and all six sometimes considered conspecific; present species shares plumage characters with <em>M. phasianella</em> and <em>M. magna</em>, but also with <em>M. unchall</em>, and has been suggested to have originated from stock of this last species; species limits within group poorly understood, and further study required in order to clarify precise relationships within this whole complex. Birds of Andamans sometimes split as subspecies <em>andamanica</em>, and those of Great Nicobar as <em>tiwarii</em>. Monotypic."
22680910,Campethera notata,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Campethera,notata,,,,,"(Lichtenstein, 1823)",
22725493,Ninox spilonotus,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Ninox,spilonotus,,,,,"Bourns &amp; Worcester, 1894","<p><em>Ninox philippensis, N. </em><em><em>spilocephala,</em></em><em><em><em> N. leventisi, N. reyi, </em> </em>N. </em><em><em>rumseyi, </em>N. spilonotus </em>and <em><em><em>N. </em>mindorensis</em></em><em> </em>(del Hoyo and Collar 2014) were previously lumped as <em>N. philippensis </em>following Sibley and Monroe (1990, 1993).</p>"
45449328,Athene granti,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Athene,granti,,,,,"(Sharpe, 1888)","<em>Athene jacquinoti</em>, <em>A</em><em>. granti</em>, <em>A</em><em>. malaitae</em> and <em>A.</em><em>&#160;roseoaxillaris</em> (HBW and BirdLife International 2024) were previously included within <em>Ninox </em>(del Hoyo and Collar 2014), prior to which all were considered conspecific with <em>N</em><em>. jacquinoti </em>following Sibley and Monroe (1990, 1993).&#160;They were moved to the present genus on the basis of molecular studies (Gwee <em>et al.</em> 2017; Salter <em>et al.</em> 2020).&#160;<br/><br/>Differs from <em>A. jacquinoti</em> in its heavily barred vs clear lower breast to vent (3); different song (“monotonous … poop notes for several minutes, with occasional switch in interval and pitch… pairs duet with alternating tones, who-ha, who-ha…” vs “reverberating chong notes, often accelerating… Sometimes duets, and notes may develop into high-pitched poop duet” (at least 3); smaller size (allow 1) (Dutson 2011). For differences from <em>malaitae </em>see related note/s. Monotypic."
22689420,Ninox affinis,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Ninox,affinis,,,,,"Beavan, 1867",
22684184,Coua verreauxi,ANIMALIA,CHORDATA,AVES,CUCULIFORMES,CUCULIDAE,Coua,verreauxi,,,,,"Grandidier, 1867",
22692000,Eupodotis caerulescens,ANIMALIA,CHORDATA,AVES,OTIDIFORMES,OTIDIDAE,Eupodotis,caerulescens,,,,,"(Vieillot, 1820)",
22724585,Otus moheliensis,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Otus,moheliensis,,,,,"Lafontaine & Moulaert, 1998",
22687939,Eriocnemis mirabilis,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Eriocnemis,mirabilis,,,,,"Meyer de Schauensee, 1967",
22699031,Todirostrum viridanum,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TYRANNIDAE,Todirostrum,viridanum,,,,,"Hellmayr, 1927",
22724610,Herpsilochmus gentryi,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THAMNOPHILIDAE,Herpsilochmus,gentryi,,,,,"Whitney & Alvarez Alonso, 1998",
22702334,Synallaxis tithys,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Synallaxis,tithys,,,,,"Taczanowski, 1877",
