internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
103798440,Cinnyris ludovicensis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,NECTARINIIDAE,Cinnyris,ludovicensis,,,,,"(Bocage, 1868)","Cinnyris afer, C. stuhlmanni, C. prigoginei and C. ludovicensis (del Hoyo and Collar 2016) were previously placed in the genus Nectarinia and lumped as N. afra following Dowsett &amp; Forbes-Watson (1993).  "
103810377,Aethopyga magnifica,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,NECTARINIIDAE,Aethopyga,magnifica,,,,,"Sharpe, 1876","Aethopyga siparaja, A. magnifica and A. vigorsii (del Hoyo and Collar 2016) were previously lumped as A. siparaja following Sibley &amp; Monroe (1990, 1993).  "
103836280,Brachypodius fuscoflavescens,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PYCNONOTIDAE,Brachypodius,fuscoflavescens,,,,,"Hume, 1873","Brachypodius atriceps and B. fuscoflavescens (del Hoyo and Collar 2016) were previously lumped as Pycnonotus atriceps following Sibley &amp; Monroe (1990, 1993).  "
103837055,Carpodacus dubius,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,dubius,,,,,"Przevalski, 1876","Carpodacus thura and C. dubius (del Hoyo and Collar 2016) were previously lumped as C. thura following Sibley &amp; Monroe (1990, 1993)."
103871108,Aegithalos iredalei,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,AEGITHALIDAE,Aegithalos,iredalei,,,,,"(Baker, 1920)","Aegithalos concinnus, A. iredalei and A. annamensis (del Hoyo and Collar 2016) were previously lumped as A. concinnus following Sibley &amp; Monroe (1990, 1993).  "
103871775,Aegithalos iouschistos,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,AEGITHALIDAE,Aegithalos,iouschistos,,,,,"(Blyth, 1844)","Aegithalos iouschistos and A. bonvaloti (del Hoyo and Collar 2016) were previously lumped as A. iouschistos following Sibley &amp; Monroe (1990, 1993).  "
103872761,Pterorhinus lanceolatus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,LEIOTRICHIDAE,Pterorhinus,lanceolatus,,,,,"Verreaux, J, 1871","Previously treated as Garrulax lanceolatus (del Hoyo and Collar 2016) but moved to current genus following Cibois et al. (2018). Until recently considered conspecific with P. woodi (see related note/s) as Babax lanceolatus following Sibley &amp; Monroe (1990, 1993). Three subspecies recognized."
105965570,Amaurospiza moesta,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CARDINALIDAE,Amaurospiza,moesta,,,,,"(Hartlaub, 1853)","Amaurospiza moesta and A. relicta (del Hoyo and Collar 2016) were previously lumped within A. moesta, which was previously split into A. moesta, A. concolor and A. carrizalensis following following SACC (2005 and updates); Sibley and Monroe (1990, 1993); Stotz et al. (1996).  "
22719543,Estrilda poliopareia,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ESTRILDIDAE,Estrilda,poliopareia,,,,,"Reichenow, 1902",
103686945,Myzomela batjanensis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Myzomela,batjanensis,,,,,"Hartert, 1903","Myzomela chloroptera and M. batjanensis (del Hoyo and Collar 2016) were previously lumped as M. chloroptera following Sibley &amp; Monroe (1990, 1993).  "
