assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
216833765,22703349,Hylopezus ochroleucus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,GRALLARIIDAE,Hylopezus,ochroleucus,,,,"(Wied, 1831)",Least Concern,,3.1,Decreasing,Global
216849803,22703362,Grallaricula flavirostris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,GRALLARIIDAE,Grallaricula,flavirostris,,,,"(Sclater, 1858)",Least Concern,,3.1,Decreasing,Global
216850934,22714757,Acrocephalus griseldis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,ACROCEPHALIDAE,Acrocephalus,griseldis,,,,"(Hartlaub, 1891)",Endangered,A3c,3.1,Stable,Global
216851596,103730482,Callaeas wilsoni,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CALLAEIDAE,Callaeas,wilsoni,,,,"(Bonaparte, 1850)",Least Concern,,3.1,Increasing,Global
216854605,22700725,Carpornis cucullata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Carpornis,cucullata,,,,"(Swainson, 1821)",Least Concern,,3.1,Decreasing,Global
216858605,22724773,Phibalura flavirostris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Phibalura,flavirostris,,,,"Vieillot, 1816",Least Concern,,3.1,Decreasing,Global
216875716,22700862,Lipaugus lanioides,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Lipaugus,lanioides,,,,"(Lesson, 1844)",Least Concern,,3.1,Decreasing,Global
216905200,22703268,Grallaria kaestneri,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,GRALLARIIDAE,Grallaria,kaestneri,,,,"Stiles, 1992",Endangered,"B1ab(i,ii,iii,iv,v); C2a(i)",3.1,Decreasing,Global
216912706,22703311,Grallaria przewalskii,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,GRALLARIIDAE,Grallaria,przewalskii,,,,"Taczanowski, 1882",Least Concern,,3.1,Stable,Global
216928856,22713500,Cisticola haesitatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CISTICOLIDAE,Cisticola,haesitatus,,,,"(Sclater & Hartlaub, 1881)",Least Concern,,3.1,Stable,Global
216929643,22703392,Grallaricula cucullata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,GRALLARIIDAE,Grallaricula,cucullata,,,,"(Sclater, 1856)",Near Threatened,C1+2a(i),3.1,Decreasing,Global
216936460,103727136,Pica asirensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CORVIDAE,Pica,asirensis,,,,"Bates, 1936",Endangered,D,3.1,Decreasing,Global
216939260,216557253,Locustella portenta,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,LOCUSTELLIDAE,Locustella,portenta,,,,Rheindt et al. 2020,Vulnerable,"B1ab(ii,iii,v)+2ab(ii,iii,v); C2a(ii)",3.1,Decreasing,Global
216939985,22700721,Lipaugus conditus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Lipaugus,conditus,,,,"(Snow, 1980)",Vulnerable,D1,3.1,Stable,Global
216947947,22700736,Carpornis melanocephala,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Carpornis,melanocephala,,,,"(Wied, 1820)",Near Threatened,C1+2a(i),3.1,Decreasing,Global
216948279,216917007,Phylloscopus sarasinorum,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PHYLLOSCOPIDAE,Phylloscopus,sarasinorum,,,,"(Meyer, A.B. &amp; Wiglesworth, 1896)",Near Threatened,"B1b(ii,iii)",3.1,Decreasing,Global
216969152,22732235,Buteo socotraensis,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Buteo,socotraensis,,,,"Porter &amp; Kirwan, 2010",Vulnerable,D1,3.1,Decreasing,Global
216980922,22696487,Falco biarmicus,ANIMALIA,CHORDATA,FALCONIFORMES,AVES,FALCONIDAE,Falco,biarmicus,,,,"Temminck, 1825",Endangered,C2a(i),3.1,Decreasing,Europe
216983804,216916973,Phylloscopus nesophilus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PHYLLOSCOPIDAE,Phylloscopus,nesophilus,,,,"(Riley, 1918)",Least Concern,,3.1,Stable,Global
216998281,216915661,Zosterops flavissimus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,ZOSTEROPIDAE,Zosterops,flavissimus,,,,"Hartert, E., 1903",Least Concern,,3.1,Stable,Global
217014626,22690097,Columba eversmanni,ANIMALIA,CHORDATA,COLUMBIFORMES,AVES,COLUMBIDAE,Columba,eversmanni,,,,"Bonaparte, 1856",Vulnerable,A2cd+3cd+4cd,3.1,Decreasing,Global
217016710,22678081,Rhea pennata,ANIMALIA,CHORDATA,STRUTHIONIFORMES,AVES,RHEIDAE,Rhea,pennata,,,,"d'Orbigny, 1834",Least Concern,,3.1,Decreasing,Global
217035348,216710483,Pitta vigorsii,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PITTIDAE,Pitta,vigorsii,,,,"Gould, 1838",Least Concern,,3.1,Decreasing,Global
217035502,22678179,Crypturellus cinnamomeus,ANIMALIA,CHORDATA,STRUTHIONIFORMES,AVES,TINAMIDAE,Crypturellus,cinnamomeus,,,,"(Lesson, 1842)",Least Concern,,3.1,Decreasing,Global
217038370,22689248,Glaucidium brasilianum,ANIMALIA,CHORDATA,STRIGIFORMES,AVES,STRIGIDAE,Glaucidium,brasilianum,,,,"(Gmelin, 1788)",Least Concern,,3.1,Decreasing,Global
217110468,216557368,Cyornis kadayangensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Cyornis,kadayangensis,,,,"Irham, Haryoko, Shakya et al., 2022",Near Threatened,B1b(iii),3.1,Decreasing,Global
217129881,216557638,Heliothraupis oneilli,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THRAUPIDAE,Heliothraupis,oneilli,,,,"Lane, Justiniano, Terrill et al., 2021",Least Concern,,3.1,Stable,Global
217158261,216557421,Zosterops meratusensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,ZOSTEROPIDAE,Zosterops,meratusensis,,,,"Irham, Haryoko, Shakya et al., 2022",Least Concern,,3.1,Stable,Global
217161542,22730775,Oenanthe lugens,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Oenanthe,lugens,,,,"(Lichtenstein, 1823)",Least Concern,,3.1,Stable,Global
217195296,216915119,Cyornis montanus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Cyornis,montanus,,,,"Robinson &amp; Kinnear, 1928",Least Concern,,3.1,Decreasing,Global
217195450,219584149,Threnetes niger,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,TROCHILIDAE,Threnetes,niger,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
